                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.85425,                0.56735,                0.84838,                 0.8191,                0.74181,                0.77535,                0.52412,                0.76847,                0.59132,                0.87388,               0.000458,               0.000458,               0.000458
                     66,                0.86424,                0.57869,                0.85678,                0.78054,                0.78782,                   0.79,                0.51924,                0.79176,                0.57634,                0.87482,             0.00044563,             0.00044563,             0.00044563
                     67,                0.81243,                0.55216,                 0.8472,                0.79616,                 0.7869,                0.78317,                0.53414,                0.73372,                0.56207,                 0.8704,             0.00043325,             0.00043325,             0.00043325
                     68,                0.83138,                0.62259,                0.86131,                0.82482,                0.76716,                0.77844,                0.52432,                0.75322,                0.57785,                0.87273,             0.00042087,             0.00042087,             0.00042087
                     69,                0.81715,                0.56154,                 0.8507,                0.83806,                 0.7529,                0.77844,                0.52747,                0.74398,                0.57114,                0.87138,              0.0004085,              0.0004085,              0.0004085
                     70,                0.82662,                0.55249,                0.85414,                0.82805,                0.77722,                0.77492,                0.51127,                0.76846,                 0.5611,                0.87277,             0.00039613,             0.00039613,             0.00039613
                     71,                0.83436,                0.56338,                0.86551,                 0.8042,                0.73909,                0.75538,                0.49684,                0.79665,                0.56936,                0.87493,             0.00038375,             0.00038375,             0.00038375
                     72,                0.80149,                0.54079,                0.84925,                0.77567,                0.78388,                0.77123,                 0.5299,                0.76731,                0.56023,                0.87106,             0.00037138,             0.00037138,             0.00037138
                     73,                0.80808,                0.54378,                0.85579,                 0.8279,                0.77652,                0.78316,                0.53319,                0.74992,                0.55668,                  0.871,               0.000359,               0.000359,               0.000359
                     74,                0.80365,                0.53893,                0.84145,                0.81332,                0.76264,                0.77387,                0.54197,                0.74094,                0.55253,                0.87084,             0.00034663,             0.00034663,             0.00034663
                     75,                0.80785,                0.54143,                0.85359,                 0.8285,                0.76685,                0.78166,                0.53685,                0.74717,                0.55029,                 0.8691,             0.00033425,             0.00033425,             0.00033425
                     76,                0.83343,                0.54724,                0.85201,                0.85208,                0.75829,                0.77988,                0.54082,                0.72476,                 0.5474,                0.87027,             0.00032188,             0.00032188,             0.00032188
                     77,                0.81175,                0.53925,                 0.8498,                0.80097,                0.78829,                0.78536,                0.53188,                0.76019,                0.55834,                0.87202,              0.0003095,              0.0003095,              0.0003095
                     78,                0.81567,                0.54605,                0.85109,                0.82196,                0.78095,                0.77828,                0.53713,                0.71254,                0.54057,                0.86943,             0.00029713,             0.00029713,             0.00029713
                     79,                0.79262,                  0.539,                  0.846,                 0.8201,                0.78132,                0.77527,                0.53916,                0.71546,                0.53601,                0.86997,             0.00028475,             0.00028475,             0.00028475
                     80,                0.81972,                0.55576,                0.85628,                0.79818,                0.79003,                0.77632,                0.54105,                0.72687,                0.53615,                0.86791,             0.00027237,             0.00027237,             0.00027237
                     81,                0.79404,                  0.534,                0.84948,                0.78725,                0.78342,                0.77335,                0.54162,                0.72956,                0.53676,                0.86797,                0.00026,                0.00026,                0.00026
                     82,                0.77811,                0.53079,                0.85056,                0.82519,                0.71979,                0.76907,                0.53616,                0.71777,                0.52732,                0.86759,             0.00024762,             0.00024762,             0.00024762
                     83,                0.76293,                0.52047,                0.84466,                0.75617,                0.76208,                0.77558,                0.53449,                0.72077,                0.53006,                0.86678,             0.00023525,             0.00023525,             0.00023525
                     84,                0.80925,                 0.5495,                0.85653,                0.75005,                0.78276,                0.77654,                0.54164,                0.70114,                0.52607,                0.86618,             0.00022288,             0.00022288,             0.00022288
                     85,                0.78819,                0.52592,                0.84768,                0.75043,                0.78563,                0.77593,                0.54235,                0.69698,                 0.5307,                 0.8666,              0.0002105,              0.0002105,              0.0002105
