                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.65086,                0.49986,                 1.9368,                 0.9545,                0.78794,                0.85545,                0.63294,                0.61853,                 0.4817,                 1.8519,              0.0002105,              0.0002105,              0.0002105
                     86,                 0.6621,                0.50032,                 1.9214,                0.94409,                 0.7929,                 0.8564,                0.63204,                0.60336,                0.47836,                 1.8474,             0.00019813,             0.00019813,             0.00019813
                     87,                0.65672,                0.50136,                  1.913,                0.90181,                0.83144,                0.85963,                 0.6342,                0.60659,                0.48239,                 1.8392,             0.00018575,             0.00018575,             0.00018575
                     88,                0.63549,                0.49843,                 1.9303,                0.90663,                0.85017,                0.85917,                0.64313,                0.60645,                0.47445,                 1.8332,             0.00017338,             0.00017338,             0.00017338
                     89,                0.65285,                0.49558,                 1.9338,                0.89876,                0.84673,                0.85693,                0.64364,                0.59916,                 0.4739,                 1.8469,               0.000161,               0.000161,               0.000161
                     90,                 0.6405,                0.49813,                  1.951,                0.90332,                 0.8503,                 0.8599,                 0.6449,                0.59047,                0.46967,                 1.8456,             0.00014862,             0.00014862,             0.00014862
                     91,                  0.584,                0.48691,                 2.0129,                0.91187,                0.84599,                 0.8578,                 0.6402,                0.60678,                0.48425,                 1.8393,             0.00013625,             0.00013625,             0.00013625
                     92,                0.57687,                0.47898,                 1.9783,                0.92348,                  0.833,                 0.8534,                0.63394,                0.60687,                0.48854,                 1.8371,             0.00012387,             0.00012387,             0.00012387
                     93,                0.58449,                0.47269,                 1.9823,                0.93903,                0.81643,                0.85384,                0.63331,                0.60218,                0.48665,                 1.8436,              0.0001115,              0.0001115,              0.0001115
                     94,                0.58193,                0.47272,                 2.0133,                0.90803,                0.83303,                0.85281,                0.63169,                 0.6134,                0.49075,                 1.8384,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.55632,                 0.4677,                 2.0335,                0.89558,                0.83261,                0.85324,                0.63276,                0.60081,                0.48577,                 1.8461,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                 0.5705,                 0.4657,                 1.9894,                 0.9233,                0.82944,                0.85838,                0.63508,                0.61209,                0.48009,                 1.8355,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                  0.582,                0.46379,                 1.9843,                0.90663,                0.83587,                0.85717,                 0.6361,                0.60831,                0.48062,                 1.8407,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.56843,                0.46481,                  1.975,                0.88995,                0.84947,                0.85776,                0.63336,                 0.5995,                0.48026,                 1.8507,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.55243,                0.46467,                 1.9995,                 0.8873,                 0.8504,                0.85733,                0.63295,                0.60025,                0.47862,                 1.8455,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.56178,                0.46208,                 1.9497,                0.88636,                0.85658,                0.85797,                 0.6315,                0.60953,                0.47912,                 1.8366,             2.4875e-05,             2.4875e-05,             2.4875e-05
